Player,Win Probability,Opponent,Opponent Win Probability
Carlos Alcaraz,98.0%,Terence Atmane,2.0%
Terence Atmane,2.0%,Carlos Alcaraz,98.0%
Carlos Alcaraz,97.2%,Grigor Dimitrov,2.8%
Grigor Dimitrov,2.8%,Carlos Alcaraz,97.2%
Arthur Rinderknech,75.0%,Juan Manuel Cerundolo,25.0%
Juan Manuel Cerundolo,25.0%,Arthur Rinderknech,75.0%
Arthur Rinderknech,56.5%,Botic van de Zandschulp,43.5%
Botic van de Zandschulp,43.5%,Arthur Rinderknech,56.5%
Valentin Vacherot,69.7%,Nuno Borges,30.3%
Nuno Borges,30.3%,Valentin Vacherot,69.7%
Valentin Vacherot,75.3%,Emilio Nava,24.7%
Emilio Nava,24.7%,Valentin Vacherot,75.3%
Camilo Ugo Carabelli,48.3%,Alexander Shevchenko,51.7%
Alexander Shevchenko,51.7%,Camilo Ugo Carabelli,48.3%
Camilo Ugo Carabelli,43.8%,Shintaro Shimabukuro,56.2%
Shintaro Shimabukuro,56.2%,Camilo Ugo Carabelli,43.8%
Michael Zheng,63.4%,Vit Kopriva,36.6%
Vit Kopriva,36.6%,Michael Zheng,63.4%
Michael Zheng,64.3%,Francesco Maestrelli,35.7%
Francesco Maestrelli,35.7%,Michael Zheng,64.3%
Rinky Hijikata,35.1%,Matteo Arnaldi,64.9%
Matteo Arnaldi,64.9%,Rinky Hijikata,35.1%
Rinky Hijikata,46.9%,Mackenzie McDonald,53.1%
Mackenzie McDonald,53.1%,Rinky Hijikata,46.9%
Sebastian Korda,82.5%,Francisco Comesana,17.5%
Francisco Comesana,17.5%,Sebastian Korda,82.5%
Sebastian Korda,75.7%,Kamil Majchrzak,24.3%
Kamil Majchrzak,24.3%,Sebastian Korda,75.7%
Giovanni Mpetshi Perricard,37.3%,Hubert Hurkacz,62.7%
Hubert Hurkacz,62.7%,Giovanni Mpetshi Perricard,37.3%
Giovanni Mpetshi Perricard,65.7%,Aleksandar Kovacevic,34.3%
Aleksandar Kovacevic,34.3%,Giovanni Mpetshi Perricard,65.7%
Valentin Royer,34.3%,Benjamin Bonzi,65.7%
Benjamin Bonzi,65.7%,Valentin Royer,34.3%
Valentin Royer,25.4%,Fabian Marozsan,74.6%
Fabian Marozsan,74.6%,Valentin Royer,25.4%
Roberto Bautista Agut,42.9%,Alejandro Tabilo,57.1%
Alejandro Tabilo,57.1%,Roberto Bautista Agut,42.9%
Chun-Hsin Tseng,25.2%,Sebastian Baez,74.8%
Sebastian Baez,74.8%,Chun-Hsin Tseng,25.2%
Alex Michelsen,75.9%,Jacob Fearnley,24.1%
Jacob Fearnley,24.1%,Alex Michelsen,75.9%
Alex Michelsen,73.5%,Damir Dzumhur,26.5%
Damir Dzumhur,26.5%,Alex Michelsen,73.5%
Casper Ruud,43.9%,Alexander Bublik,56.1%
Alexander Bublik,56.1%,Casper Ruud,43.9%
Luciano Darderi,42.4%,Cameron Norrie,57.6%
Cameron Norrie,57.6%,Luciano Darderi,42.4%
Alex de Minaur,37.5%,Novak Djokovic,62.5%
Novak Djokovic,62.5%,Alex de Minaur,37.5%
Corentin Moutet,37.4%,Francisco Cerundolo,62.6%
Francisco Cerundolo,62.6%,Corentin Moutet,37.4%
Jack Draper,35.2%,Daniil Medvedev,64.8%
Daniil Medvedev,64.8%,Jack Draper,35.2%
Jiri Lehecka,47.8%,Ugo Humbert,52.2%
Ugo Humbert,52.2%,Jiri Lehecka,47.8%
Taylor Fritz,49.7%,Lorenzo Musetti,50.3%
Lorenzo Musetti,50.3%,Taylor Fritz,49.7%
Taylor Fritz,77.8%,Marton Fucsovics,22.2%
Marton Fucsovics,22.2%,Taylor Fritz,77.8%
Arthur Fils,74.0%,Dino Prizmic,26.0%
Dino Prizmic,26.0%,Arthur Fils,74.0%
Andrey Rublev,79.9%,Gabriel Diallo,20.1%
Gabriel Diallo,20.1%,Andrey Rublev,79.9%
Felix Auger Aliassime,76.7%,Gael Monfils,23.3%
Gael Monfils,23.3%,Felix Auger Aliassime,76.7%
Flavio Cobolli,57.7%,Miomir Kecmanovic,42.3%
Miomir Kecmanovic,42.3%,Flavio Cobolli,57.7%
Jenson Brooksby,39.3%,Frances Tiafoe,60.7%
Frances Tiafoe,60.7%,Jenson Brooksby,39.3%
Brandon Nakashima,72.3%,Camilo Ugo Carabelli,27.7%
Camilo Ugo Carabelli,27.7%,Brandon Nakashima,72.3%
Matteo Berrettini,26.5%,Alexander Zverev,73.5%
Alexander Zverev,73.5%,Matteo Berrettini,26.5%
Ben Shelton,83.5%,Reilly Opelka,16.5%
Reilly Opelka,16.5%,Ben Shelton,83.5%
Adam Walton,7.2%,Learner Tien,92.8%
Learner Tien,92.8%,Adam Walton,7.2%
Alejandro Davidovich Fokina,64.6%,Zachary Svajda,35.4%
Zachary Svajda,35.4%,Alejandro Davidovich Fokina,64.6%
Marcos Giron,29.7%,Jakub Mensik,70.3%
Jakub Mensik,70.3%,Marcos Giron,29.7%
